pair_id	disease1	disease2	baseline	BMI	SBP	ApoB	FG	SMK	SLEEP	JOINT
AAA_AF	AAA	AF	0.14633514128370315	0.09678	0.14833	0.174037	0.144579	0.119933	0.145548	0.11136513207090257
AAA_alc_problems	AAA	alc_problems	0.11655333265926685	0.091312	0.116562	0.116536	0.115753	-0.036454	0.114285	-0.03920282858898534
AAA_allergic_rhinitis	AAA	allergic_rhinitis	0.059204903577827955	0.051571	0.059278	0.05687	0.061004	0.073889	0.057376	0.06418872748513232
AAA_anxiety	AAA	anxiety	0.19191974459296876	0.205392	0.191848	0.203846	0.190355	0.123144	0.190733	0.16053028710070505
AAA_asthma	AAA	asthma	0.1134310473381138	0.054972	0.113299	0.115404	0.110595	0.051563	0.111661	0.014297496661474448
AAA_b12_def	AAA	b12_def	0.1321707521622043	0.05942	0.132231	0.123552	0.128506	0.072989	0.129902	0.014863296154320913
AAA_BPH	AAA	BPH	-0.033464077631544145	-0.033388	-0.033314	-0.023611	-0.034221	-0.024301	-0.035209	-0.01354016090936754
AAA_bursitis	AAA	bursitis	0.019100015498997695	-0.03089	0.019034	0.014559	0.014736	-0.074885	0.012166	-0.10758262374831826
AAA_carpal_tunnel	AAA	carpal_tunnel	0.051948375076273944	-0.038628	0.051613	0.043873	0.045995	-0.004393	0.047829	-0.0775122087689466
AAA_cataract	AAA	cataract	0.09888283497418751	0.075368	0.098696	0.104095	0.096822	0.065071	0.097951	0.05656862349118208
AAA_cholelithiasis	AAA	cholelithiasis	0.13591932787897565	0.044941	0.135781	0.140119	0.132213	0.094837	0.135507	0.03194267669756427
AAA_CKD	AAA	CKD	0.10661306916704026	0.04141	0.108319	0.108875	0.103324	0.090943	0.106082	0.04263566533494153
AAA_COPD	AAA	COPD	0.31037648791781813	0.252732	0.311481	0.305782	0.309079	0.174689	0.309841	0.13408473509438987
AAA_coronary_heart	AAA	coronary_heart	0.27118101580180703	0.215301	0.285437	0.255776	0.269159	0.219029	0.270186	0.16985761249247305
AAA_deaf	AAA	deaf	0.06629806041887361	0.049677	0.067168	0.064638	0.067553	0.024281	0.065913	0.014854787930419588
AAA_depression	AAA	depression	0.15758184338936007	0.137703	0.157716	0.162079	0.155387	0.073412	0.155895	0.07674095747183665
AAA_diabetes_type_2	AAA	diabetes_type_2	0.16305776879434247	0.035609	0.167486	0.1552	0.18002	0.125629	0.162614	0.036714609519529096
AAA_diverticuli	AAA	diverticuli	0.13372130833207252	0.099942	0.133842	0.133434	0.130883	0.096314	0.132643	0.0768697359430741
AAA_ED	AAA	ED	0.14671531355252454	0.065252	0.147064	0.153313	0.143242	0.063481	0.144818	0.018529602789170405
AAA_enthesopathy_lower	AAA	enthesopathy_lower	0.26857170016723975	0.203234	0.269673	0.286727	0.266652	0.200662	0.269994	0.18005873746411313
AAA_enthesopathy_shoulder	AAA	enthesopathy_shoulder	0.15005411964118495	0.096549	0.149926	0.141742	0.14665	0.076615	0.148205	0.0381275137872192
AAA_enthesopathy_upper	AAA	enthesopathy_upper	0.1162273642200094	0.066204	0.116132	0.09548	0.113319	0.030289	0.114024	-0.018476125419148726
AAA_essential_tremor	AAA	essential_tremor	0.09788107757366435	0.086826	0.097788	0.096552	0.100541	0.104006	0.095814	0.0936139771893222
AAA_female_genital_prolapse	AAA	female_genital_prolapse	0.08891196749669909	0.07651	0.089221	0.087589	0.086513	0.068728	0.088162	0.06335454806674197
AAA_fibromatosis	AAA	fibromatosis	0.045240880983091494	0.065503	0.045296	0.042355	0.046044	0.01734	0.045398	0.03414716588564106
AAA_fibromyalgia	AAA	fibromyalgia	0.19270311901877926	0.131753	0.192876	0.198933	0.190955	0.100502	0.192065	0.06957144235095851
AAA_gastritis_duodenitis	AAA	gastritis_duodenitis	0.1197921476005593	0.05615	0.119631	0.106042	0.116882	0.027222	0.117328	-0.02837229100907861
AAA_glaucoma	AAA	glaucoma	0.007908021552155371	0.019563	0.007514	0.011852	0.005611	0.01892	0.008513	0.031736024953295146
AAA_GORD	AAA	GORD	0.19605163708317108	0.13568	0.196082	0.181763	0.19322	0.124707	0.194559	0.07077248162871351
AAA_gout	AAA	gout	0.17554071657615813	0.083974	0.178899	0.165333	0.172216	0.15021	0.174288	0.071980027641026
AAA_HF	AAA	HF	0.29342127366891246	0.194286	0.314326	0.312454	0.293695	0.229622	0.292998	0.19155869088595165
AAA_hypertension	AAA	hypertension	0.30710779409146016	0.235866	0.436374	0.334001	0.308139	0.277733	0.306274	0.3691986027100228
AAA_hyperthyroid	AAA	hyperthyroid	0.2750396929090442	0.268193	0.276408	0.282396	0.273411	0.261861	0.276807	0.2735557058234283
AAA_hypothyroid	AAA	hypothyroid	0.0571179327626086	0.020155	0.057112	0.061281	0.056596	0.028025	0.056917	0.005726887173630099
AAA_IBS	AAA	IBS	0.056394050549958295	0.055012	0.056636	0.067194	0.056086	0.023876	0.054024	0.0404799723887356
AAA_IDA	AAA	IDA	0.1313619721814539	0.047142	0.132843	0.125162	0.126848	0.067533	0.129067	0.0027655504609600218
AAA_insomnia	AAA	insomnia	0.2915691347569911	0.277087	0.292691	0.30504	0.289865	0.208808	0.308455	0.2555049731383382
AAA_intervert_disc	AAA	intervert_disc	0.17011943360769388	0.115945	0.17005	0.16569	0.167584	0.091795	0.168378	0.05376907890450486
AAA_isch_stroke_tia	AAA	isch_stroke_tia	0.2840297219800206	0.239255	0.297278	0.301263	0.282177	0.23226	0.283296	0.22800355529878033
AAA_migraine	AAA	migraine	0.2536168303063142	0.254869	0.253729	0.248203	0.256359	0.228535	0.252629	0.22816308990119377
AAA_OA	AAA	OA	0.2619573036539439	0.176052	0.26192	0.26438	0.260151	0.210639	0.262925	0.1553165317991617
AAA_osteoporosis	AAA	osteoporosis	0.031851323392206775	0.080375	0.032313	0.042412	0.036309	0.02004	0.029893	0.07187188843429484
AAA_periph_neuro	AAA	periph_neuro	0.26923413042095584	0.186396	0.269435	0.257673	0.279846	0.192524	0.271693	0.1415318328500511
AAA_peripheral_arterial	AAA	peripheral_arterial	0.4629748488149627	0.406475	0.505452	0.446303	0.465923	0.38762	0.46467	0.37057731317250353
AAA_PMR	AAA	PMR	0.12365779739407692	0.106876	0.123508	0.123348	0.122817	0.111419	0.121934	0.10081584988221307
AAA_pri_bladder	AAA	pri_bladder	0.017928288092982116	0.008887	0.018599	0.03312	0.020142	-0.042878	0.01719	-0.027658794833848484
AAA_pri_breast	AAA	pri_breast	-0.03983238851932375	-0.027365	-0.039866	-0.045802	-0.040746	-0.042665	-0.039168	-0.037994387664941266
AAA_pri_colorectal	AAA	pri_colorectal	-0.06712204206165526	-0.075155	-0.066904	-0.093485	-0.066645	-0.056906	-0.066918	-0.09114354745802354
AAA_pri_prost	AAA	pri_prost	0.0039973178953299285	0.023731	0.004068	-0.015125	0.003558	0.027003	0.005148	0.021319965561909734
AAA_pri_skin	AAA	pri_skin	-0.08843116255338204	-0.064299	-0.088275	-0.09198	-0.086877	-0.081521	-0.088399	-0.06716981223974165
AAA_psoriasis	AAA	psoriasis	0.13109426069704322	0.091307	0.130949	0.13031	0.129761	0.076914	0.129181	0.051765191860092874
AAA_RA	AAA	RA	0.2704702050840726	0.237766	0.271032	0.2766	0.268427	0.205603	0.269427	0.19786037670613113
AAA_raynauds	AAA	raynauds	-0.03444173645282694	-0.007303	-0.034588	-0.014788	-0.028975	-0.062932	-0.037755	-0.021228994141062038
AAA_retinal_detach	AAA	retinal_detach	0.08046461998008324	0.10133	0.080443	0.091727	0.083398	0.105936	0.080137	0.12986532717614155
AAA_schizo	AAA	schizo	0.03253033595851277	0.062507	0.032935	0.034156	0.032493	-0.004866	0.036014	0.025339377340437372
AAA_scoliosis	AAA	scoliosis	0.11504661943645285	0.130921	0.115097	0.11311	0.118669	0.106401	0.113554	0.11848370959380775
AAA_sinusitis	AAA	sinusitis	0.17993514299112137	0.169528	0.179876	0.20176	0.180205	0.134239	0.178424	0.15783141345427254
AAA_sleep_apnoea	AAA	sleep_apnoea	0.3048542086570067	0.207868	0.305282	0.298634	0.303173	0.263714	0.304091	0.18466614107077955
AAA_spondylolisthesis	AAA	spondylolisthesis	0.3229922636455038	0.287863	0.323009	0.32123	0.321426	0.277276	0.322349	0.25640642937300523
AAA_spondylosis	AAA	spondylosis	0.26785049438755476	0.190291	0.268097	0.261755	0.265794	0.186044	0.269738	0.12794738185626686
AAA_stroke_all	AAA	stroke_all	0.3515922212051168	0.306858	0.365585	0.365161	0.350214	0.311794	0.352753	0.3030050662959576
AAA_tendon	AAA	tendon	0.1729018959463464	0.117028	0.172797	0.160228	0.169789	0.097984	0.173207	0.055182351099406626
AAA_thromboembolic	AAA	thromboembolic	0.2898008786847804	0.228409	0.290029	0.30237	0.288792	0.258157	0.288842	0.23486293572236264
AAA_TIA	AAA	TIA	0.4685103377380105	0.443548	0.4788	0.473159	0.467688	0.43273	0.46801	0.43151532163945056
AAA_tinnitus	AAA	tinnitus	-0.018101630711903884	0.004456	-0.017917	-0.002181	-0.012815	-0.027203	-0.021798	0.006875846085377745
AAA_ulc_colitis	AAA	ulc_colitis	-0.06446423182092617	-0.05688	-0.064676	-0.056566	-0.064477	-0.069564	-0.064641	-0.055368486546196444
