pair_id	baseline_rg	partial_BMI	partial_SBP	partial_ApoB	partial_FG	partial_SMK	partial_SLEEP	best_single_exposure	best_single_rg	best_single_attenuation	joint_rg	joint_attenuation	additional_joint_attenuation	joint_vs_best_single_ratio	disease1	disease2
AAA_AF	0.14633514128370315	0.09678	0.14833	0.174037	0.144579	0.119933	0.145548	BMI	0.09678	0.04955514128370314	0.11136513207090257	0.03497000921280058	-0.014585132070902562	-0.09966937499056393	AAA	AF
AAA_alc_problems	0.11655333265926685	0.091312	0.116562	0.116536	0.115753	-0.036454	0.114285	SMK	-0.036454	0.08009933265926684	-0.03920282858898534	0.0773505040702815	-0.0027488285889853414	-0.023584298503255104	AAA	alc_problems
AAA_allergic_rhinitis	0.059204903577827955	0.051571	0.059278	0.05687	0.061004	0.073889	0.057376	BMI	0.051571	0.0076339035778279565	0.06418872748513232	-0.004983823907304369	-0.012617727485132325	-0.21311963575019863	AAA	allergic_rhinitis
AAA_anxiety	0.19191974459296876	0.205392	0.191848	0.203846	0.190355	0.123144	0.190733	SMK	0.123144	0.06877574459296876	0.16053028710070505	0.03138945749226371	-0.037386287100705046	-0.19480167181336872	AAA	anxiety
AAA_asthma	0.1134310473381138	0.054972	0.113299	0.115404	0.110595	0.051563	0.111661	SMK	0.051563	0.061868047338113796	0.014297496661474448	0.09913355067663934	0.037265503338525546	0.32853001195911574	AAA	asthma
AAA_b12_def	0.1321707521622043	0.05942	0.132231	0.123552	0.128506	0.072989	0.129902	BMI	0.05942	0.07275075216220431	0.014863296154320913	0.11730745600788339	0.044556703845679085	0.33711470288825796	AAA	b12_def
AAA_BPH	-0.033464077631544145	-0.033388	-0.033314	-0.023611	-0.034221	-0.024301	-0.035209	ApoB	-0.023611	0.009853077631544145	-0.01354016090936754	0.019923916722176603	0.01007083909063246	0.3009447683428577	AAA	BPH
AAA_bursitis	0.019100015498997695	-0.03089	0.019034	0.014559	0.014736	-0.074885	0.012166	SLEEP	0.012166	0.0069340154989976956	-0.10758262374831826	-0.08848260824932055	-0.09541662374831826	-4.995630697437152	AAA	bursitis
AAA_carpal_tunnel	0.051948375076273944	-0.038628	0.051613	0.043873	0.045995	-0.004393	0.047829	SMK	-0.004393	0.04755537507627394	-0.0775122087689466	-0.025563833692672656	-0.0731192087689466	-1.4075360136209898	AAA	carpal_tunnel
AAA_cataract	0.09888283497418751	0.075368	0.098696	0.104095	0.096822	0.065071	0.097951	SMK	0.065071	0.03381183497418751	0.05656862349118208	0.04231421148300543	0.008502376508817924	0.08598435219861358	AAA	cataract
AAA_cholelithiasis	0.13591932787897565	0.044941	0.135781	0.140119	0.132213	0.094837	0.135507	BMI	0.044941	0.09097832787897564	0.03194267669756427	0.10397665118141138	0.012998323302435728	0.09563263374881904	AAA	cholelithiasis
AAA_CKD	0.10661306916704026	0.04141	0.108319	0.108875	0.103324	0.090943	0.106082	BMI	0.04141	0.06520306916704026	0.04263566533494153	0.06397740383209874	-0.0012256653349415267	-0.011496389181153456	AAA	CKD
AAA_COPD	0.31037648791781813	0.252732	0.311481	0.305782	0.309079	0.174689	0.309841	SMK	0.174689	0.13568748791781812	0.13408473509438987	0.17629175282342827	0.04060426490561014	0.13082261861395053	AAA	COPD
AAA_coronary_heart	0.27118101580180703	0.215301	0.285437	0.255776	0.269159	0.219029	0.270186	BMI	0.215301	0.05588001580180704	0.16985761249247305	0.10132340330933398	0.04544338750752694	0.1675758436598648	AAA	coronary_heart
AAA_deaf	0.06629806041887361	0.049677	0.067168	0.064638	0.067553	0.024281	0.065913	SMK	0.024281	0.04201706041887361	0.014854787930419588	0.05144327248845402	0.009426212069580412	0.14217930373868035	AAA	deaf
AAA_depression	0.15758184338936007	0.137703	0.157716	0.162079	0.155387	0.073412	0.155895	SMK	0.073412	0.08416984338936007	0.07674095747183665	0.08084088591752342	-0.0033289574718366466	-0.021125260374136593	AAA	depression
AAA_diabetes_type_2	0.16305776879434247	0.035609	0.167486	0.1552	0.18002	0.125629	0.162614	BMI	0.035609	0.12744876879434247	0.036714609519529096	0.12634315927481338	-0.0011056095195290938	-0.006780477420389274	AAA	diabetes_type_2
AAA_diverticuli	0.13372130833207252	0.099942	0.133842	0.133434	0.130883	0.096314	0.132643	SMK	0.096314	0.03740730833207252	0.0768697359430741	0.05685157238899842	0.019444264056925897	0.145408867886931	AAA	diverticuli
AAA_ED	0.14671531355252454	0.065252	0.147064	0.153313	0.143242	0.063481	0.144818	SMK	0.063481	0.08323431355252454	0.018529602789170405	0.12818571076335414	0.044951397210829594	0.30638517631451506	AAA	ED
AAA_enthesopathy_lower	0.26857170016723975	0.203234	0.269673	0.286727	0.266652	0.200662	0.269994	SMK	0.200662	0.06790970016723974	0.18005873746411313	0.08851296270312661	0.020603262535886874	0.07671419782150246	AAA	enthesopathy_lower
AAA_enthesopathy_shoulder	0.15005411964118495	0.096549	0.149926	0.141742	0.14665	0.076615	0.148205	SMK	0.076615	0.07343911964118495	0.0381275137872192	0.11192660585396574	0.0384874862127808	0.2564907001874625	AAA	enthesopathy_shoulder
