pair_id	trait_1	trait_2	baseline_rg	baseline_se	baseline_p	baseline_fdr	joint_rg	joint_se	joint_p	residual_fdr	signed_difference	difference_se	difference_p	difference_fdr	baseline_abs_rg	joint_abs_rg	absolute_attenuation	proportional_attenuation	residual_ci_lower	residual_ci_upper	original_frozen_class	original_near_null_flag	change_class	sign_reversal_flag	significant_reversal_flag	residual_state	residual_significant	near_null_classified	equivalent_005	equivalent_010
AAA_AF	AAA	AF	0.14633514128370309	0.041099681501007103	0.00037015873354239999	0.00082202363972560004	0.1113651320709025	0.053586561848429998	0.037688297652295297	0.077273448569268904	0.034970009212800503	0.0214667675528953	0.10330665973459641	0.18890143446686691	0.14633514128370309	0.1113651320709025	0.034970009212800503	0.23897205350697989	0.0063354708479797101	0.21639479329382527	PERSISTENT	False	NO_SIGNIFICANT_CHANGE	False	False	RESIDUAL_NON_SIGNIFICANT_OTHER	False	False	False	False
AAA_alc_problems	AAA	alc_problems	0.1165533326592668	0.062348792665102702	0.061570530072506	0.092170341704926204	-0.0392028285889853	0.082920809354935204	0.63637420283000923	0.72774500415672938	0.1557561612482522	0.035689036593703399	1.275550022018758e-05	7.6012992918863642e-05	0.1165533326592668	0.0392028285889853	0.077350504070281503		-0.20172761492465829	0.12332195774668769	UNSTABLE	False	ATTENUATED	True	False	NEAR_NULL_CLASSIFIED	False	True	False	False
AAA_allergic_rhinitis	AAA	allergic_rhinitis	0.0592049035778279	0.060788926661328201	0.33008521763310678	0.40809043075535839	0.064188727485132296	0.067592113107759894	0.34229104642477309	0.45632685105448562	-0.0049838239073043003	0.015403275499193301	0.74627412070865717	0.82166202479442318	0.0592049035778279	0.064188727485132296	-0.0049838239073043003		-0.068291814206077106	0.1966692691763417	UNSTABLE	False	NO_SIGNIFICANT_CHANGE	False	False	RESIDUAL_NON_SIGNIFICANT_OTHER	False	False	False	False
AAA_anxiety	AAA	anxiety	0.19191974459296871	0.043580702528968097	1.0638174477469689e-05	2.9446764382327737e-05	0.16053028710070499	0.050273158265447399	0.0014072447382120999	0.0045211177012067002	0.031389457492263698	0.018731223438406299	0.0937807921659157	0.17654944585780341	0.19191974459296871	0.16053028710070499	0.031389457492263698	0.16355512330862959	0.061994896900428101	0.2590656773009819	ATTENUATED	False	NO_SIGNIFICANT_CHANGE	False	False	RESIDUAL_SIGNIFICANT	True	False	False	False
AAA_asthma	AAA	asthma	0.11343104733811379	0.049220808990880098	0.0211926638140142	0.035487715348938902	0.014297496661474399	0.0495624201510435	0.77298351193428905	0.84312729312835044	0.099133550676639301	0.016993802210128701	5.4272672200199963e-09	7.9330873179120694e-08	0.11343104733811379	0.014297496661474399	0.099133550676639301	0.87395429208321906	-0.082844846834570857	0.11143984015751965	NEAR_NULL_EQUIVALENT	True	ATTENUATED	False	False	NEAR_NULL_CLASSIFIED	False	True	False	False
AAA_b12_def	AAA	b12_def	0.13217075216220431	0.092931115079032803	0.154955331701527	0.2111096487271352	0.0148632961543209	0.1098127578889283	0.89233415103254698	0.92780350013216717	0.1173074560078833	0.032303695462003498	0.00028189409576719998	0.0011446189999699001	0.13217075216220431	0.0148632961543209	0.1173074560078833		-0.20036970930797859	0.23009630161662037	UNSTABLE	False	ATTENUATED	False	False	NEAR_NULL_CLASSIFIED	False	True	False	False
AAA_BPH	AAA	BPH	-0.033464077631544097	0.062568352124980894	0.59276027766713679	0.66639399448643977	-0.0135401609093675	0.062866177111582197	0.82947052008976907	0.88329922067601196	-0.0199239167221766	0.0132780504842683	0.13348099635648211	0.23235183235701709	0.033464077631544097	0.0135401609093675	0.0199239167221766		-0.13675786804806861	0.10967754622933359	UNSTABLE	False	NO_SIGNIFICANT_CHANGE	False	False	NEAR_NULL_CLASSIFIED	False	True	False	False
AAA_bursitis	AAA	bursitis	0.019100015498997602	0.083113440306462102	0.81824207117441672	0.85975963926783316	-0.1075826237483182	0.1071084093366229	0.31517263667859591	0.42751310160824829	0.1266826392473159	0.039163981179815198	0.0012178247999969001	0.0040951212828043001	0.019100015498997602	0.1075826237483182	-0.088482608249320499		-0.31751510604809907	0.10234985855146267	UNSTABLE	False	ENHANCED	True	False	RESIDUAL_NON_SIGNIFICANT_OTHER	False	False	False	False
AAA_carpal_tunnel	AAA	carpal_tunnel	0.051948375076273902	0.039797028765855197	0.1917794807284223	0.25430736905556539	-0.0775122087689466	0.045594347622153301	0.089123426443647	0.15796841277636439	0.12946058384522049	0.021804675998768602	2.8978002443742488e-09	4.5006460045437554e-08	0.051948375076273902	0.0775122087689466	-0.025563833692672601		-0.16687713010836708	0.011852712570473864	UNSTABLE	False	ENHANCED	True	False	RESIDUAL_NON_SIGNIFICANT_OTHER	False	False	False	False
AAA_cataract	AAA	cataract	0.098882834974187497	0.054146754062832501	0.067820050412718894	0.1006767176078892	0.056568623491182003	0.057513274378664402	0.32532448251193929	0.43698991299576712	0.042314211483005397	0.0138381209248612	0.0022296804796892999	0.0071401494742626996	0.098882834974187497	0.056568623491182003	0.042314211483005397		-0.056157394291000216	0.16929464127336422	UNSTABLE	False	ATTENUATED	False	False	RESIDUAL_NON_SIGNIFICANT_OTHER	False	False	False	False
AAA_cholelithiasis	AAA	cholelithiasis	0.13591932787897559	0.068553625581888794	0.047404121646396902	0.073212704966622896	0.031942676697564197	0.088865423398804405	0.71925847376874841	0.79828374600953089	0.10397665118141131	0.026857357715509601	0.0001081942540078	0.00049304176700390001	0.13591932787897559	0.031942676697564197	0.10397665118141131		-0.14223355316409242	0.20611890655922083	UNSTABLE	False	ATTENUATED	False	False	NEAR_NULL_CLASSIFIED	False	True	False	False
AAA_CKD	AAA	CKD	0.10661306916704021	0.061083289375783598	0.080920118610796302	0.11773213978210111	0.042635665334941501	0.083408759331662294	0.60923529875358429	0.70350823299379972	0.063977403832098698	0.029635200007881599	0.030863240291616301	0.0714107561682185	0.10661306916704021	0.042635665334941501	0.063977403832098698		-0.12084550295511659	0.20611683362499961	UNSTABLE	False	NO_SIGNIFICANT_CHANGE	False	False	NEAR_NULL_CLASSIFIED	False	True	False	False
AAA_COPD	AAA	COPD	0.31037648791781808	0.061820420393618798	5.1506485541986136e-07	1.6536642967937408e-06	0.13408473509438981	0.078950305700661805	0.089442957258589403	0.1584217739042014	0.17629175282342821	0.035368833074205401	6.2160367379176044e-07	5.2185308424747458e-06	0.31037648791781808	0.13408473509438981	0.17629175282342821	0.56799325878739571	-0.020657864078907323	0.28882733426768692	PERSISTENT	False	ATTENUATED	False	False	RESIDUAL_NON_SIGNIFICANT_OTHER	False	False	False	False
